Designator,Mid X,Mid Y,Layer,Rotation
ANT1,78.49,25.40,Top,90.0
ANT2, 3.81,25.40,Top,90.0
ANT3, 3.81,19.05,Top,90.0
C1,70.61,31.24,Top,45.0
C2,61.98,18.29,Top,180.0
C3,42.93, 9.91,Top,0.0
C4,42.93, 8.64,Top,0.0
C5,38.35,14.48,Top,180.0
C6,84.58, 3.43,Top,0.0
C7,91.95, 4.83,Top,180.0
C8,64.77,27.94,Top,0.0
C9,75.18,32.51,Top,90.0
C10,37.59,29.72,Top,270.0
C11,40.39,44.20,Top,0.0
C12,72.14,32.00,Top,135.0
C13,84.58, 4.95,Top,0.0
C14,40.13, 5.33,Top,180.0
C15,40.13,48.01,Top,180.0
C16,77.98,40.64,Top,270.0
C17,43.05,13.21,Top,90.0
C19,38.10,16.64,Top,90.0
C20,40.13,45.97,Top,180.0
C21,35.05,29.72,Top,270.0
C22,28.45,42.67,Top,90.0
C23,37.59,33.02,Top,90.0
C24,29.21,37.85,Top,90.0
C25,32.51,33.02,Top,90.0
C26,35.05,33.02,Top,90.0
C29,25.91,33.02,Top,90.0
C30,23.37,33.02,Top,90.0
CR1,46.74,27.43,Top,270.0
CR2,47.75, 4.57,Top,0.0
CR3,59.94, 4.57,Top,180.0
CR4,51.56,27.43,Top,270.0
D3,32.77,43.18,Top,90.0
IC1,52.07,14.99,Top,0.0
J1,30.23,46.23,Top,180.0
J2,67.06,23.11,Top,90.0
J3,62.23,25.40,Top,45.0
L1,69.09,29.72,Top,45.0
L3,29.21,28.19,Top,0.0
R1,64.77,29.46,Top,0.0
R2,43.43,27.94,Top,270.0
R3,44.96,27.94,Top,270.0
R4,49.78,27.94,Top,270.0
R5,55.63,27.94,Top,270.0
R6,51.05, 4.57,Top,180.0
R7,56.64, 4.57,Top,0.0
R8,40.39,42.93,Top,180.0
R9,65.02,47.75,Top,0.0
R10,65.02,38.86,Top,0.0
R11,65.02,40.13,Top,0.0
R12,65.02,37.59,Top,0.0
R13,65.02,33.78,Top,0.0
R14,53.34,27.94,Top,270.0
R15,40.39,41.66,Top,0.0
R16,40.39,40.39,Top,0.0
R17,77.98,38.35,Top,90.0
R18,61.98,17.02,Top,180.0
R20,38.35,13.21,Top,0.0
R21,56.90,27.94,Top,90.0
R27,65.02,35.05,Top,0.0
R28,65.02,36.32,Top,0.0
R31,84.58, 2.16,Top,0.0
R32,48.51,27.94,Top,270.0
R35,42.93, 6.60,Top,0.0
R36,40.13, 6.60,Top,180.0
R41,24.13,37.85,Top,90.0
R42,26.67,37.85,Top,270.0
R43,31.75,37.85,Top,90.0
U1,87.63, 3.94,Top,270.0
U2,91.95, 3.30,Top,0.0
U3,29.97,11.43,Top,90.0
U4,52.83,43.69,Top,0.0
U6,29.21,33.53,Top,0.0
U7,67.06,27.69,Top,180.0
